"Reference","Quantity","Value","Footprint","Datasheet","Digikey","Manufacturer","PartNumber","Power","Temperature","Tolerance"
"C1",1,"0.9pF/50V","Celebi:SM0402C","https://www.we-online.com/catalog/datasheet/885392005022.pdf","!13-CC0402BRNPO9BNR90CT-ND","Wurth",885392005022,"_","-55+125°C","0.1pF"
"C12,C13",2,"12pF/50V","Celebi:SM0402C","https://www.yageo.com/en/Chart/Download/pdf/CC0402JRNPO9BN120","311-1016-1-ND","Yageo","CC0402JRNPO9BN120","_","-55+125°C","5%"
"C14,C15,C69,C70",4,"18pF/50V","Celebi:SM0402C","https://www.yageo.com/en/Chart/Download/pdf/CC0402JRNPO9BN180","311-1415-1-ND","Yageo","CC0402JRNPO9BN180","_","-55+125°C","5%"
"C10,C16,C17,C2,C20,C25,C3,C31,C43,C5,C62,C63,C64,C65,C66,C67,C68,C71,C74,C75,C86,C87,C88,C90",24,"100nF/16V","Celebi:SM0402C","http://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL05B104KO5NNN","1276-1001-1-ND","Samsung","CL05B104KO5NNNC","_","-55+125°C","10%"
"C21,C41,C72,C89",4,"10uF/16V","Celebi:SM0805C","http://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL21B106KOQNNN","1276-2872-1-ND","Samsung","CL21B106KOQNNNE","_","-55+125°C","10%"
"C32",1,"100nF/50V","Celebi:SM0603C","http://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL10B104KB8NNN","1276-1000-1-ND","Samsung","CL10B104KB8NNNC","_","-55+125°C","10%"
"C4,C7",2,"3.3nF/50V","Celebi:SM0402C","http://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL05B332KB5NNN","1276-1552-1-ND","Samsung","CL05B332KB5NNNC","_","-55+125°C","10%"
"C42",1,"47uF/16V","Celebi:SMD-C-6032","https://spicat.kyocera-avx.com/product/tan/chartview/TAJC476K016RNJ/DataSheet/gen_taj/TAJC476_016_NJ","478-1718-1-ND","Kyocera_AVX","TAJC476K016RNJ","_","-55+125°C","10%"
"C6",1,"10nF/50V","Celebi:SM0402C","https://www.yageo.com/en/Chart/Download/pdf/CC0402KRX7R9BB103","311-1349-1-ND","Yageo","CC0402KRX7R9BB103","_","-55+125°C","10%"
"C11,C18,C22,C8,C83",5,"1uF/16V","Celebi:SM0603C","https://www.yageo.com/en/Chart/Download/pdf/CC0603KRX7R7BB105","311-1446-1-ND","Yageo","CC0603KRX7R7BB105","_","-55+125°C","10%"
"C81",1,"100nF/50V","Celebi:SM0402C","https://www.yageo.com/en/Chart/Download/pdf/CC0402KRX7R9BB104","311-3566-1-ND","Yageo","CC0402KRX7R9BB104","_","-55+125°C","10%"
"C84,C85",2,"27pF/50V","Celebi:SM0402C","https://www.yageo.com/en/Chart/Download/pdf/CC0402JRNPO9BN270","311-1019-1-ND","Yageo","CC0402JRNPO9BN270","_","-55+125°C","5%"
"C19,C23,C24,C73,C82,C9",6,"15pF/50V","Celebi:SM0402C","https://www.yageo.com/en/Chart/Download/pdf/CC0402JRNPO9BN150","311-1017-1-ND","Yageo","CC0402JRNPO9BN150","_","-55+125°C","5%"
"D1",1,"TVS_4V","Celebi:SM0402V","https://www.murata.com/products/productdata/8796832759838/CRESD-E.pdf","490-13210-2-ND","Murata","LXES15AAA1-153","15kV","-40+85°C","_"
"D31,D41,D82,D83",4,"BAT54WS","Celebi:SOD323","https://www.panjit.com.tw/upload/datasheet/BAT54WS.pdf","3757-BAT54WS_R1_00001CT-ND","Panjit","BAT54WS_R1_00001","0.2A","-55+125°C","_"
"D42",1,"Diode-LED_Green","Celebi:led-SM0603_Green","https://optoelectronics.liteon.com/upload/download/DS22-2000-228/LTST-C191KGKT.PDF","160-1446-1-ND","Liteon","LTST-C191KGKT","0.075W","-55+85°C","_"
"D61,D81",2,"TVS_5V","Celebi:SOT23-6L","https://en.leiditech.com/u_file/file/products/2212/13/392447b971.pdf","!497-4492-1-ND","Leiditech","USRV05-4","350W","-55+125°C","_"
"D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D91,D92,D93,D94,D95,D96,D97,D98,D99",20,"TVS_5V","Celebi:DFN1006-2","https://en.leiditech.com/u_file/file/products/2212/16/1ac2f97961.pdf","!490-12804-1-ND","Leiditech","ULC0511CDN","110W","-55+150°C","_"
"E41",1,"Jumper","Celebi:N.A.","https://datasheet.lcsc.com/lcsc/2201121830_XKB-Connectivity-X1301-B1NIB_C2938575.pdf","!S9345-ND","XKB","X1301-B1NIB","1A","-40+105°C","_"
"J41",1,"Conn_01x03","Celebi:sil-1.27mm-3P","https://www.helloxkb.com/public/images/pdf/X1311WV-XXJ-C18D27.pdf","!SAM10238-ND","XKB","X1311WV-03J-C18D27","1A","-40+105°C","_"
"J51,J52",2,"Conn_01x12/DNP","Celebi:sil-12P","https://www.helloxkb.com/public/images/pdf/X6511WV-XXH-C60D30.pdf","!S1012EC-12-ND","XKB","X6511WV-12H-C60D30","3A","-40+105°C","_"
"J61",1,"HR913550A","Celebi:eth-HR911105A","https://datasheet.lcsc.com/lcsc/1811141123_HANRUN-Zhongshan-HanRun-Elec-HR913550A_C163507.pdf","_","Hanrun","HR913550A","_","0+85°C","_"
"J81",1,"USB-Micro","Celebi:usb-U253-05XX-4BH89-XXS","http://www.helloxkb.com/public/images/pdf/U253-05XX-4BH89-XXS.pdf","!732-3155-1-ND","XKB","U253-051N-4BH89-S1S","1A","-40+85°C","_"
"L1",1,"2.2nH","Celebi:SM0402L","https://www.we-online.com/catalog/datasheet/7447840022G.pdf","732-7447840022GCT-ND","Wurth","7447840022G","0.3A","-55+125°C","0.1nH"
"L2,L81",2,"Bead_300R","Celebi:SM0603L","https://www.we-online.com/catalog/datasheet/742792641.pdf","732-1592-1-ND","Wurth",742792641,"2A","-55+125°C","25%"
